"measure_1","measure_2","tau","networks"
"community_based","reaching_local",0.861,19
"hide_information","random_walk",-0.8609,19
"gravity","onion",0.8607,19
"hide_information","information",-0.8606,19
"community_based","delta_closeness",0.8604,19
"community_based","gilschmidt",0.8604,19
"current_flow_closeness","fragmentation",0.8598,14
"fuzzy_local_dimension","local_dimension",-0.8597,19
"fragmentation","random_walk",0.8597,14
"leverage","pagerank",0.8596,19
"centroid","katz",0.8595,19
"authority","markov",0.8595,19
"fragmentation","information",0.8589,14
"current_flow_betweenness","length_scaled_betweenness",0.8588,19
"fragmentation","spanning_tree",0.8585,14
"epc","random_walk",0.8578,14
"current_flow_closeness","subgraph",0.8578,19
"current_flow_closeness","epc",0.8577,14
"diffusion","random_walk",0.8575,19
"delta_closeness","pagerank",0.8573,19
"gilschmidt","pagerank",0.8573,19
"harmonic","pagerank",0.857,19
"pagerank","reaching_local",0.857,19
"communicability_betweenness","degree",0.8569,19
"communicability_betweenness","expected_influence_1",0.8569,19
"diffusion","information",0.8569,19
"community_based","local_bridging",-0.8569,19
"expected_influence_2","markov",0.8569,19
"communicability_betweenness","strength",0.8569,19
"centroid","local_bridging",-0.8568,19
"dangalchev","mnc",0.8561,18
"decay","mnc",0.8561,18
"generalized_closeness","mnc",0.8561,18
"mnc","residual_closeness",0.8561,18
"diffusion","spanning_tree",0.8561,19
"epc","spanning_tree",0.8561,14
"leverage","node_contraction",0.8558,19
"current_flow_closeness","diffusion",0.8557,19
"cross_clique","gravity",0.8556,19
"average_distance","random_walk",-0.8556,19
"barycenter","random_walk",0.8556,19
"closeness","random_walk",0.8556,19
"lin","random_walk",0.8556,19
"radiality","random_walk",0.8556,19
"random_walk","wiener",-0.8556,19
"effective_size","length_scaled_betweenness",0.8552,19
"random_walk","subgraph",0.8551,19
"average_distance","information",-0.855,19
"barycenter","information",0.855,19
"closeness","information",0.855,19
"eccentricity","kreach",-0.855,7
"information","lin",0.855,19
"information","radiality",0.855,19
"spanning_tree","subgraph",0.855,19
"information","wiener",-0.855,19
"epc","information",0.8549,14
"current_flow_betweenness","node_contraction",0.8545,19
"information","subgraph",0.8545,19
"diffusion","harary",0.8542,19
"average_distance","spanning_tree",-0.8542,19
"barycenter","spanning_tree",0.8542,19
"closeness","spanning_tree",0.8542,19
"lin","spanning_tree",0.8542,19
"radiality","spanning_tree",0.8542,19
"spanning_tree","wiener",-0.8542,19
"average_distance","degree",-0.8541,19
"barycenter","degree",0.8541,19
"closeness","degree",0.8541,19
"average_distance","expected_influence_1",-0.8541,19
"barycenter","expected_influence_1",0.8541,19
"closeness","expected_influence_1",0.8541,19
"degree","lin",0.8541,19
"expected_influence_1","lin",0.8541,19
"degree","radiality",0.8541,19
"expected_influence_1","radiality",0.8541,19
"average_distance","strength",-0.8541,19
"barycenter","strength",0.8541,19
"closeness","strength",0.8541,19
"lin","strength",0.8541,19
"radiality","strength",0.8541,19
"degree","wiener",-0.8541,19
"expected_influence_1","wiener",-0.8541,19
"strength","wiener",-0.8541,19
"delta_closeness","node_contraction",0.8539,19
"gilschmidt","node_contraction",0.8539,19
"average_distance","current_flow_closeness",-0.8537,19
"barycenter","current_flow_closeness",0.8537,19
"closeness","current_flow_closeness",0.8537,19
"current_flow_closeness","lin",0.8537,19
"current_flow_closeness","radiality",0.8537,19
"current_flow_closeness","wiener",-0.8537,19
"communicability","current_flow_closeness",0.8536,19
"delta_closeness","diffusion",0.8536,19
"diffusion","gilschmidt",0.8536,19
"diffusion","local_volume_dimension",-0.8533,19
"harmonic","node_contraction",0.8533,19
"node_contraction","reaching_local",0.8533,19
"fragmentation","gravity",0.8531,14
"diffusion","reaching_local",0.853,19
"diffusion","harmonic",0.8529,19
"hindex_strength","katz",0.8529,19
"katz","lobby",0.8529,19
"markov","nonbacktracking",0.8529,19
"mnc","nonbacktracking",0.8528,18
"communicability","random_walk",0.8528,19
"gravity","semilocal",0.8527,19
"delta_betweenness","ego_betweenness",0.8524,19
"closeness_vitality","dangalchev",-0.8521,19
"closeness_vitality","decay",-0.8521,19
"closeness_vitality","generalized_closeness",-0.8521,19
"closeness_vitality","residual_closeness",-0.8521,19
"communicability","spanning_tree",0.8521,19
"mnc","subgraph",0.8521,18
"hindex_strength","markov",0.8519,19
"lobby","markov",0.8519,19
"centroid","laplacian",0.8518,19
"fragmentation","markov",0.8518,14
"cross_clique","katz",0.8516,19
"cross_clique","hindex_strength",0.8514,19
"cross_clique","lobby",0.8514,19
"degree","subgraph",0.8514,19
"expected_influence_1","subgraph",0.8514,19
"strength","subgraph",0.8514,19
"communicability","information",0.8513,19
